"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1147;48;21,4;0,1;19,19;0,705
1147;48;21,4;0,7;16,42;0,694
1147;48;21,4;1,3;15,28;0,563
1147;48;21,4;2,5;14,64;0,426
1147;48;21,4;3,7;13,75;0,432
1147;48;21,4;4,9;13,43;0,31
1147;48;21,4;6,1;12,96;0,321
1147;48;21,4;7,3;12,16;0,355
1147;48;21,4;8,5;11,4;0,254
1147;48;21,4;9,7;10,7;0,251
1147;48;21,4;10,9;10,15;0,265
1147;48;21,4;12,1;9,55;0,266
1147;48;21,4;13,3;8,82;0,256
1147;48;21,4;14,5;7,73;0,269
1147;48;21,4;15,7;6,78;0,217
1147;48;21,4;16,9;6,05;0,219
1147;48;21,4;18,1;4,93;0,2
1147;48;21,4;19,3;3,25;0,134
1147;48;21,4;20,5;1,43;0,081
1147;48;21,4;20,9;0,86;0,056
1078;58,31;26,2;0,1;21,9;1,209
1078;58,31;26,2;0,7;19,35;0,761
1078;58,31;26,2;1,3;18,56;0,7365
1078;58,31;26,2;2,5;17,83;0,6225
1078;58,31;26,2;3,7;17,19;0,6115
1078;58,31;26,2;4,9;16,93;0,671
1078;58,31;26,2;6,1;16,55;0,628
1078;58,31;26,2;7,3;16,49;0,575
1078;58,31;26,2;8,5;15,92;0,626
1078;58,31;26,2;9,7;15,76;0,501
1078;58,31;26,2;10,9;14,26;0,421
1078;58,31;26,2;12,1;13,53;0,4165
1078;58,31;26,2;13,3;12,51;0,364
1078;58,31;26,2;14,5;11,78;0,293
1078;58,31;26,2;15,7;11,2;0,363
1078;58,31;26,2;16,9;10,15;0,3095
1078;58,31;26,2;18,1;9,29;0,3125
1078;58,31;26,2;19,3;8,44;0,295
1078;58,31;26,2;20,5;7,64;0,262
1078;58,31;26,2;21,7;6,53;0,2675
1078;58,31;26,2;22,9;4,9;0,219
1078;58,31;26,2;24,1;3,63;0,1995
1078;58,31;26,2;25,3;0,16;0,121
1078;58,31;26,2;25,6;0,1;0,046
1079;52,59;25,6;0,1;20,94;1,011
1149;51,49;24,5;0,1;20,05;0,905
1149;51,49;24,5;0,7;16,71;0,757
