"talhao";"area";"idade";"parcela";"raio";"fila";"cova";"fuste";"categoria";"cap";"htest";"htre";"haprov_total"
"SP001";10,84;8,34;"2";11,28;1;1;1;"Dominante";52,5;24,43;24,3;1
"SP001";10,84;8,34;"2";11,28;1;2;1;"Dominante";52,5;24,43;24,1;1
"SP001";10,84;8,34;"2";11,28;1;3;1;"Normal";47,5;23,89;23,5;1
"SP001";10,84;8,34;"2";11,28;2;1;1;"Normal";45,99;23,71;24,2;1
"SP001";10,84;8,34;"2";11,28;2;2;1;"Normal";49,1;24,08;24,5;1
"SP001";10,84;8,34;"2";11,28;2;3;1;"Dominante";54,19;24,59;25,2;1
"SP001";10,84;8,34;"2";11,28;2;4;1;"Normal";51,49;24,33;24,8;1
"SP001";10,84;8,34;"2";11,28;2;5;1;"Normal";46,5;23,77;23,9;1
"SP001";10,84;8,34;"2";11,28;2;6;1;"Normal";44,11;23,47;24,1;1
"SP001";10,84;8,34;"2";11,28;2;7;1;"Normal";48,79;24,04;23,4;1
"SP001";10,84;8,34;"2";11,28;3;1;1;"Normal";50,49;24,23;24;1
"SP001";10,84;8,34;"2";11,28;3;2;1;"Normal";48,6;24,02;23,5;1
"SP001";10,84;8,34;"2";11,28;3;3;1;"Normal";47,6;23,9;23,1;1
"SP001";10,84;8,34;"2";11,28;3;4;1;"Normal";49,39;24,11;24,11;1
"SP001";10,84;8,34;"2";11,28;3;5;1;"Normal";48;23,95;23,95;1
"SP001";10,84;8,34;"2";11,28;3;6;1;"Normal";50,71;24,25;24,25;1
"SP001";10,84;8,34;"2";11,28;3;7;1;"Dominante";52,5;24,43;24,8;1
"SP001";10,84;8,34;"2";11,28;3;8;1;"Normal";49,7;24,14;24,14;1
"SP001";10,84;8,34;"2";11,28;3;9;1;"Normal";46,21;23,74;23,74;1
"SP001";10,84;8,34;"2";11,28;4;1;1;"Normal";46,21;23,74;23,74;1
"SP001";10,84;8,34;"2";11,28;4;2;1;"Normal";50,99;24,28;24,28;1
"SP001";10,84;8,34;"2";11,28;4;3;1;"Normal";52,09;24,39;24,39;1
"SP001";10,84;8,34;"2";11,28;4;4;1;"Normal";49,01;24,07;24,07;1
"SP001";10,84;8,34;"2";11,28;4;5;1;"Normal";48,91;24,06;24,06;1
"SP001";10,84;8,34;"2";11,28;4;6;1;"Normal";44,2;23,48;23,48;1
"SP001";10,84;8,34;"2";11,28;4;7;1;"Normal";51,58;24,34;24,34;1
"SP001";10,84;8,34;"2";11,28;4;8;1;"Normal";48,19;23,97;23,97;1
"SP001";10,84;8,34;"2";11,28;4;9;1;"Normal";50,01;24,18;24,18;1
"SP001";10,84;8,34;"2";11,28;5;1;1;"Normal";44,01;23,45;23,45;1
"SP001";10,84;8,34;"2";11,28;5;2;1;"Normal";39,62;22,81;22,81;1
"SP001";10,84;8,34;"2";11,28;5;3;1;"Normal";45,3;23,62;23,62;1
"SP001";10,84;8,34;"2";11,28;5;4;1;"Normal";42,41;23,23;23,23;1
"SP001";10,84;8,34;"2";11,28;5;5;1;"Normal";43,1;23,33;23,33;1
"SP001";10,84;8,34;"2";11,28;5;6;1;"Normal";44,2;23,48;23,48;1
"SP001";10,84;8,34;"2";11,28;5;7;1;"Normal";42,6;23,26;23,26;1
"SP001";10,84;8,34;"2";11,28;5;8;1;"Normal";51,49;24,33;24,33;1
"SP001";10,84;8,34;"2";11,28;6;1;1;"Normal";48,79;24,04;24,04;1
"SP001";10,84;8,34;"2";11,28;6;2;1;"Normal";48,6;24,02;24,02;1
"SP001";10,84;8,34;"2";11,28;6;3;1;"Normal";47,6;23,9;23,9;1
"SP001";10,84;8,34;"2";11,28;6;4;1;"Normal";44,2;23,48;23,48;1
"SP001";10,84;8,34;"2";11,28;6;5;1;"Normal";47,82;23,93;23,93;1
"SP001";10,84;8,34;"2";11,28;6;6;1;"Normal";49,01;24,07;24,07;1
"SP001";10,84;8,34;"2";11,28;7;1;1;"Normal";47,6;23,9;23,9;1
"SP001";10,84;8,34;"3";11,28;1;1;1;"Dominante";56,71;25,91;26;1
"SP001";10,84;8,34;"3";11,28;1;2;1;"Dominante";56,71;25,91;26,5;1
"SP001";10,84;8,34;"3";11,28;1;3;1;"Dominante";56,71;25,91;25,6;1
"SP001";10,84;8,34;"3";11,28;2;1;1;"Normal";53,69;25,48;25,6;1
"SP001";10,84;8,34;"3";11,28;2;2;1;"Normal";49,01;24,71;24,5;1
"SP001";10,84;8,34;"3";11,28;2;3;1;"Normal";50,71;25;24,5;1
"SP001";10,84;8,34;"3";11,28;2;4;1;"Normal";53,5;25,45;25,2;1
"SP001";10,84;8,34;"3";11,28;2;5;1;"Normal";48,79;24,67;25,4;1
"SP001";10,84;8,34;"3";11,28;2;6;1;"Normal";49,2;24,74;24,9;1
"SP001";10,84;8,34;"3";11,28;2;7;1;"Normal";49,7;24,83;24,8;1
"SP001";10,84;8,34;"3";11,28;3;1;1;"Normal";49,51;24,8;24,4;1
"SP001";10,84;8,34;"3";11,28;3;2;1;"Normal";50,2;24,92;25,2;1
"SP001";10,84;8,34;"3";11,28;3;3;1;"Normal";50,2;24,92;24,8;1
"SP001";10,84;8,34;"3";11,28;3;4;1;"Normal";55,1;25,68;25,68;1
"SP001";10,84;8,34;"3";11,28;3;5;1;"Normal";50,11;24,9;24,9;1
"SP001";10,84;8,34;"3";11,28;3;6;1;"Normal";53;25,37;25,37;1
"SP001";10,84;8,34;"3";11,28;3;7;1;"Normal";48,41;24,6;24,6;1
"SP001";10,84;8,34;"3";11,28;3;8;1;"Normal";50,49;24,96;24,96;1
"SP001";10,84;8,34;"3";11,28;3;9;1;"Normal";50,49;24,96;24,96;1
"SP001";10,84;8,34;"3";11,28;4;1;1;"Normal";52,68;25,32;25,32;1
"SP001";10,84;8,34;"3";11,28;4;2;1;"Normal";37,7;22,25;22,25;1
"SP001";10,84;8,34;"3";11,28;4;3;1;"Normal";47,69;24,47;24,47;1
"SP001";10,84;8,34;"3";11,28;4;4;1;"Normal";37,01;22,06;22,06;1
"SP001";10,84;8,34;"3";11,28;4;5;1;"Normal";42;23,31;23,31;1
"SP001";10,84;8,34;"3";11,28;4;6;1;"Normal";49,29;24,76;24,76;1
"SP001";10,84;8,34;"3";11,28;4;7;1;"Normal";34,21;21,25;21,25;1
"SP001";10,84;8,34;"3";11,28;4;8;1;"Normal";45,99;24,15;24,15;1
"SP001";10,84;8,34;"3";11,28;4;9;1;"Normal";49,7;24,83;24,83;1
"SP001";10,84;8,34;"3";11,28;5;1;1;"Normal";49,01;24,71;24,71;1
"SP001";10,84;8,34;"3";11,28;5;2;1;"Normal";44,3;23,81;23,81;1
"SP001";10,84;8,34;"3";11,28;5;3;1;"Normal";48,19;24,57;24,57;1
"SP001";10,84;8,34;"3";11,28;5;4;1;"Normal";48,19;24,57;24,57;1
"SP001";10,84;8,34;"3";11,28;5;5;1;"Normal";51,21;25,08;25,08;1
"SP001";10,84;8,34;"3";11,28;5;6;1;"Normal";53,69;25,48;25,48;1
"SP001";10,84;8,34;"3";11,28;5;7;1;"Normal";42,19;23,35;23,35;1
"SP001";10,84;8,34;"3";11,28;5;8;1;"Normal";49,7;24,83;24,83;1
"SP001";10,84;8,34;"3";11,28;5;9;1;"Normal";51,3;25,1;25,1;1
"SP001";10,84;8,34;"3";11,28;6;1;1;"Normal";51,49;25,13;25,13;1
"SP001";10,84;8,34;"3";11,28;6;2;1;"Normal";55,61;25,76;25,76;1
"SP001";10,84;8,34;"3";11,28;6;3;1;"Normal";53,82;25,49;25,49;1
"SP001";10,84;8,34;"3";11,28;6;4;1;"Normal";54,7;25,63;25,63;1
"SP001";10,84;8,34;"3";11,28;6;5;1;"Normal";54,92;25,66;25,66;1
"SP001";10,84;8,34;"3";11,28;6;6;1;"Dominante";57,49;26,02;25,9;1
"SP001";10,84;8,34;"3";11,28;6;7;1;"Normal";56,01;25,81;25,81;1
"SP001";10,84;8,34;"3";11,28;7;1;1;"Normal";53,5;25,45;25,45;1
"SP001";10,84;8,34;"3";11,28;7;2;1;"Normal";55,39;25,73;25,73;1
"SP001";10,84;8,34;"3";11,28;7;3;1;"Normal";53;25,37;25,37;1
"SP001";10,84;8,34;"3";11,28;7;4;1;"Normal";51,58;25,15;25,15;1
"SP002";37;8,36;"11";11,28;1;1;1;"Normal";47,09;27,45;28,1;1
"SP002";37;8,36;"11";11,28;1;2;1;"Normal";45,49;27,24;26,8;1
"SP002";37;8,36;"11";11,28;2;1;1;"Normal";36,79;25,8;26,3;1
"SP002";37;8,36;"11";11,28;2;2;1;"Dominante";62,2;28,97;28,8;1
"SP002";37;8,36;"11";11,28;2;3;1;"Normal";44,8;27,14;26,8;1
"SP002";37;8,36;"11";11,28;2;4;1;"Normal";59,91;28,78;28,9;1
"SP002";37;8,36;"11";11,28;2;5;1;"Normal";55,61;28,4;29,1;1
"SP002";37;8,36;"11";11,28;2;6;1;"Normal";57,49;28,57;28,5;1
"SP002";37;8,36;"11";11,28;3;1;1;"Normal";55,2;28,36;28,6;1
"SP002";37;8,36;"11";11,28;3;2;1;"Normal";55,7;28,41;28,4;1
"SP002";37;8,36;"11";11,28;3;3;1;"Normal";44,3;27,07;26,2;1
