talhao;area;parcela;idade;ncovas;nfustes;dapmed;dg;htmed;hdom;ab;vtsc;vtcc
1;48,15;1;24,01;1392,37;1369,16;9,19;9,27;10,98;11,6;9,25;36,46;45,68
1;48,15;1;37,65;1392,37;1369,16;12,07;12,17;16,3;17,06;15,92;94,95;119,3
1;48,15;1;47,6;1392,37;1369,16;12,87;12,97;19,41;20,72;18,1;140,24;164,28
1;48,15;1;61,86;1392,37;1369,16;14,03;14,16;22,3;23,6;21,56;199,65;237,38
1;48,15;1;72,37;1392,37;1369,16;14,52;14,68;24;25,2;23,17;220,12;250,52
1;48,15;1;84,99;1392,37;1369,16;15,24;15,44;25,67;28,27;25,64;265,71;298,59
1;48,15;2;37,65;1415,96;1345,16;12,06;12,13;16,04;17,62;15,56;91,4;115,27
1;48,15;2;47,6;1415,96;1345,16;13;13,1;18,32;18,96;18,12;128,13;152,15
1;48,15;2;61,86;1415,96;1345,16;14,41;14,56;22,12;23,73;22,38;205,55;244,39
1;48,15;2;72,37;1415,96;1345,16;14,81;14,98;23,56;25,73;23,69;221,72;252,35
1;48,15;2;84,99;1415,96;1345,16;15,51;15,72;26,08;29,13;26,11;274,66;308,65
2;7,5;3;24,7;1383,32;1337,21;10,96;11;12,89;14,2;12,7;57,62;71,4
2;7,5;3;38,34;1383,32;1337,21;13,09;13,16;18,28;19,22;18,19;122,52;150,03
2;7,5;3;48,29;1383,32;1337,21;13,88;13,96;20,88;21,62;20,46;169,77;197,24
2;7,5;3;62,55;1383,32;1337,21;15,06;15,18;22,83;24,27;24,2;229,17;272,47
2;7,5;4;38,34;1352,57;1330,03;12,98;13,08;18,53;18,98;17,87;122,92;149,59
2;7,5;4;48,29;1352,57;1330,03;13,78;13,89;19,63;20,58;20,17;154,07;181,18
2;7,5;4;62,55;1352,57;1330,03;14,95;15,11;21,7;23,35;23,84;215,68;256,44
2;7,5;4;73,06;1352,57;1330,03;15,5;15,68;22,72;24,7;25,68;230,98;262,89
2;7,5;4;85,68;1352,57;1330,03;16,21;16,44;25,1;27,77;28,25;286,52;321,97
3;37,83;5;24,77;1322,84;1278,74;9,18;9,23;11,53;12,92;8,55;36,1;44,93
3;37,83;5;38,4;1322,84;1278,74;11,47;11,52;15,43;16,58;13,34;75,57;95,7
3;37,83;5;48,36;1322,84;1278,74;12,37;12,43;17,41;18,48;15,51;104,66;124,95
3;37,83;5;62,61;1322,84;1278,74;13,57;13,64;20,26;21,32;18,69;156,4;185,95
3;37,83;5;73,13;1322,84;1278,74;14,12;14,21;21,78;23,1;20,29;173,76;197,76
3;37,83;5;85,74;1322,84;1278,74;14,97;15,09;24,58;26,1;22,86;223,87;251,57
3;37,83;6;24,77;1323,92;1279,79;9,79;9,81;12,82;13,4;9,68;45,38;55,96
3;37,83;6;38,4;1323,92;1279,79;12,01;12,05;16,39;16,5;14,6;87,44;109,51
3;37,83;6;48,36;1323,92;1279,79;12,95;12,99;18,98;20,06;16,97;126,62;149,13
3;37,83;6;62,61;1323,92;1279,79;13,94;14;20,71;21,92;19,69;168,21;199,99
3;37,83;6;73,13;1323,92;1279,79;14,7;14,77;22,74;23,81;21,94;195,64;222,66
3;37,83;6;85,74;1323,92;1279,79;15,59;15,68;24,63;25,92;24,72;242,12;272,08
3;37,83;7;38,4;1344,09;1299,28;12,33;12,36;16,14;17,36;15,59;90,88;114,98
3;37,83;7;48,36;1344,09;1299,28;13,09;13,12;17,21;18,36;17,57;114,09;137,14
3;37,83;7;62,61;1344,09;1299,28;14,34;14,37;20,47;21,13;21,09;177,41;210,93
3;37,83;7;73,13;1344,09;1299,28;14,93;14,99;21,57;23,23;22,92;193,83;220,6
3;37,83;7;85,74;1344,09;1299,28;15,52;15,59;24,88;26,55;24,81;245,14;275,47
3;37,83;8;38,4;1369,27;1323,63;13,13;13,23;18,45;20,3;18,18;124,87;152,26
3;37,83;8;48,36;1369,27;1323,63;14,02;14,13;21,15;23,78;20,76;176,72;204,63
3;37,83;8;62,61;1369,27;1323,63;15,01;15,15;23,61;25,38;23,87;233,97;278,18
3;37,83;8;73,13;1369,27;1323,63;15,54;15,7;23,99;26,55;25,61;244,56;278,34
3;37,83;8;85,74;1369,27;1323,63;16,43;16,62;26,37;29,48;28,73;305,47;343,26
4;10,23;9;24,74;1460,32;1460,32;9,81;9,88;10,28;11,92;11,19;39,55;50,1
4;10,23;9;38,37;1460,32;1460,32;12,31;12,38;15,97;17,6;17,58;101,69;129,08
4;10,23;9;48,32;1460,32;1460,32;13,08;13,16;17,84;19,42;19,88;136,6;162,9
4;10,23;9;62,58;1460,32;1460,32;13,95;14,07;20,22;21,95;22,71;190,99;227,08
4;10,23;9;73,09;1460,32;1460,32;14,44;14,59;21;22,63;24,42;203,3;231,38
4;10,23;9;85,71;1460,32;1460,32;14,99;15,19;24,08;26,27;26,46;257,27;289,1
6;28,54;10;25,16;1447,7;1327,06;10,51;10,63;14,84;15,52;11,77;65,88;79,99
6;28,54;10;38,8;1447,7;1327,06;13,17;13,37;18,94;19,9;18,63;131,15;159,16
6;28,54;10;48,75;1447,7;1327,06;14,16;14,43;21,71;23,72;21,7;191,02;220,34
6;28,54;10;63,01;1447,7;1327,06;15,01;15,39;24,19;27,73;24,69;257,26;305,87
6;28,54;10;73,52;1447,7;1327,06;15,77;16,21;25,01;29,4;27,39;282,62;321,66
6;28,54;10;86,14;1447,7;1327,06;16,17;16,65;26,03;30,45;28,89;315,37;354,39
8;41,38;11;29,47;1348,39;1348,39;11,34;11,43;14,68;15,5;13,84;73,32;89,59
8;41,38;11;41,56;1348,39;1326,29;12,91;13,03;17,64;19,66;17,67;119,02;142,43
8;41,38;11;55,81;1348,39;1326,29;14,5;14,67;20,53;22,12;22,42;192,93;229,39
8;41,38;11;66,33;1348,39;1326,29;14,93;15,13;21,33;22,76;23,83;202,25;230,19
8;41,38;11;78,94;1348,39;1326,29;15,89;16,14;22,76;25,42;27,12;247,34;281,51
